id,location,lat,lon,state
GLC4556,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",27.1675,88.3651,Sikkim
GLC4570,Arunachal Pradesh,27.8458,95.2253,Arunachal Pradesh
GLC4610,"Dapchhuah, Mamit, Mizoram",23.7705,92.5217,Mizoram
GLC4757,"East Siang, Arunachal Pradesh",28.1193,95.1645,Arunachal Pradesh
GLC4798,"Dibang Valley, Arunachal Pradesh",28.8254,96.1509,Arunachal Pradesh
GLC4845,"Kolasib, Saiha, Mizoram,",24.2315,92.6755,Mizoram
GLC4858,"Nursery, North Guwahati, Guwahati, Assam,",26.1662,91.7138,Assam
GLC4859,"Sarania Hills, North Guwahati, Guwahati, Assam,",26.1771,91.7599,Assam
GLC4857,"Laipuitland , Aizawl, Mizoram",23.7281,92.7175,Mizoram
GLC4860,"Boragaon, North Guwahati, Guwahati, Assam,",26.1016,91.6906,Assam
GLC4892,Upper Subansiri,27.8776,94.25,Arunachal Pradesh
GLC4906,"Helipong-Chessore Road, Nagaland",26.0977,94.7499,Nagaland
GLC4905,"Kuthur – Huker Road Via Y Anner, Chessore, Nagaland",26.0977,94.7031,Nagaland
GLC4908,"15 Km From Gangtok, Himalayans",27.3721,88.708,Sikkim
GLC4990,"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",27.3765,88.7628,Sikkim
GLC5006,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",26.1147,94.3864,Nagaland
GLC5005,"Walo Ward, Mon Town, Wokha District, Nagaland",26.72,95.029,Nagaland
GLC5084,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagalan",25.616,94.1167,Nagaland
GLC5087,"National Highway 29 Near Phesama Village, Nagaland",25.6269,94.1139,Nagaland
GLC5122,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",25.7658,93.9413,Nagaland
GLC5123,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",25.7131,94.0885,Nagaland
GLC5250,"Polo River At Polosang, Arunachal Pradesh",27.8837,93.0515,Arunachal Pradesh
GLC5271,"Nanga, Nagaland",26.284,94.5808,Nagaland
GLC5268,"Zunheboto, Nagaland",26.0137,94.5163,Nagaland
GLC5269,"Tizu, Nagaland",25.8376,94.5234,Nagaland
GLC5270,"Phizo, Nagaland",26.0481,94.4619,Nagaland
GLC5273,"Zhekuto, Nagaland",26.1807,94.5497,Nagaland
GLC5272,"Longsa, Nagaland",26.2083,94.5438,Nagaland
GLC5274,"Suruhuto Town, Nagaland",26.0838,94.564,Nagaland
GLC5275,"Suruhuto Town, Nagaland",26.1498,94.6055,Nagaland
GLC5300,"Senapati, Manipur",25.318,94.0441,Nagaland
GLC5312,Kangtsung Village,26.7103,94.693,Assam
GLC5427,"Koide Government High School, Senapati, Manipur",25.3833,94.1884,Nagaland
GLC5338,"Longlem, Nagaland",26.8727,94.9275,Assam
GLC5337,"Yakshu, Nagaland",26.4205,94.9731,Nagaland
GLC5336,"Tobu, Nagaland",26.3897,94.9439,Nagaland
GLC5343,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,24.7625,93.4341,Assam
GLC5431,"Tamenglong, Manipur",24.9829,93.5063,Assam
GLC5430,"Tamenglong- Khongsang Road, Manipur",24.9037,93.487,Manipur
GLC5429,Tamabong Village In Sikkim State,27.3425,88.2426,Sikkim
GLC5442,Arunachal Pradesh,27.1614,93.7525,Arunachal Pradesh
GLC5441,"Gosang Village Under Jengging Circle, Arunachal Pradesh",28.611,94.9829,Arunachal Pradesh
GLC5476,14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),27.3736,88.7323,Sikkim
GLC5552,"Ukhrul, Manipur",25.0985,94.3619,Manipur
GLC5575,"Chiechama, Nagaland",25.8266,94.1497,Nagaland
GLC5582,"Batahguli, Guwahati, Assam",26.1309,91.8383,Assam
GLC5603,"Tusom, Manipur",25.426,94.6024,Manipur
GLC6015,Lohit District of Arunachal Pradesh,27.9032,96.174,Arunachal Pradesh
GLC6016,"Satgarakul Village, Karimganj, Assam State",24.8669,92.3576,Assam
GLC6105,Arunachal Pradesh,28.9205,95.3429,Arunachal Pradesh
GLC6106,Narakasur,26.1407,91.7645,Assam
GLC6107,Bamunimaidam,26.1844,91.7896,Assam
GLC6110,"Bhangagarh, Assam",26.1619,91.7697,Assam
GLC6143,"Zembabawk, Aizawl",23.7327,92.7463,Mizoram
GLC6513,Sabroom,23.0137,91.7174,Tripura
