id,date,location,lat,lon,fatalities,type,trigger,state,location_accuracy,source,label,elevation,slope,aspect,slope_max_nbhd,slope_mean_nbhd,relief_nbhd,dist_to_road_m,ndvi,rain_1d,rain_3d,rain_7d,rain_15d,rain_30d,soil_moisture_surface,soil_moisture_subsurface,vv_anomaly,factor_of_safety
NEG266,2011-03-29,near_GLC4241,25.16141,93.69365,,,,,,,0,870,27,100,48,25.582989067171855,275,246.14497780761627,6025.0,15.75499964132905,32.52999916765839,35.54999903868884,68.04999785963446,79.21449763979763,,,,0.6502529605228045
NEG267,2007-11-26,near_GLC4241,25.18737,93.63935,,,,,,,0,572,16,35,54,28.771061518802497,289,429.40408900591416,8708.0,0.004999999888241291,0.004999999888241291,0.8749999962747097,111.59999770671129,114.79499766323715,,,,0.5878807401939672
NEG268,2022-12-11,near_GLC4313,28.44442,95.86194,,,,,,,0,1206,31,312,52,31.93297043204469,375,650.843261815622,9044.666666666666,0.0,0.0,0.0,0.13399999774992466,0.34899998642504215,0.4061003029346466,0.41913026571273804,0.24979677546818202,0.5121124710926467
NEG269,2020-03-24,near_GLC4313,28.60503,95.88082,,,,,,,0,976,32,23,60,36.589411816793216,479,829.6894623426616,8873.0,0.08500000089406967,6.839999783784151,7.9949997663497925,22.31999934092164,56.974998453632,0.28898340463638306,0.3021136522293091,-1.1475430339558876,0.5266784185020283
NEG270,2024-09-23,near_GLC4377,26.12927,91.66443,,,,,,,0,49,1,270,7,2.0541167681615473,9,979.9265424415605,6470.0,0.0,4.014999931678176,6.6149999015033245,41.464998964220285,171.2499966174364,0.33270329236984253,0.35371845960617065,4.183579562947778,3.994957575808035
NEG271,2010-01-31,near_GLC4377,26.14779,91.79392,,,,,,,0,56,1,90,22,3.566048628090193,36,263.6111219487221,2803.5,0.0,0.0,0.05999999865889549,0.8099999707192183,0.8954999679117464,,,,1.4389171473241251
NEG272,2022-02-15,near_GLC4378,28.8904,96.28862,,,,,,,0,3046,28,21,53,35.57930935505951,422,29294.845168759417,1497.0,0.0,4.134999964386225,4.7899999767541885,12.136499700136483,13.041499678976834,0.3128702640533447,0.3278493583202362,-3.825508349558164,0.552649245605602
NEG273,2014-02-25,near_GLC4378,28.73355,96.25618,,,,,,,0,3482,35,285,69,43.97148637891385,492,34331.154764300845,3824.0,0.0,5.744999893940985,7.879999863915145,24.70999948028475,54.401998756453395,,,,0.5576933202704221
NEG274,2024-02-08,near_GLC4382,25.12253,92.91995,,,,,,,0,415,17,192,36,19.208055990044194,207,1465.2872083514717,6862.666666666667,0.0,0.11999999545514584,16.899999663233757,17.369999649003148,17.369999649003148,0.15747156739234924,0.23931847512722015,-1.1557811979446155,0.9277785534460827
NEG275,2011-02-21,near_GLC4382,25.12006,92.88187,,,,,,,0,261,19,99,36,16.388659946804257,131,1082.34578827785,6793.0,0.024999999441206455,0.3699999935925007,16.584999782964587,16.584999782964587,18.560499724932015,,,,0.8662087320075671
NEG276,2014-04-01,near_GLC4385,27.80781,88.49053,,,,,,,0,4229,31,309,67,26.407379316498623,260,30214.978942855298,-395.0,1.6149999499320984,11.384999753907323,26.089999513700604,31.669999486766756,31.839999481104314,,,,0.5476362504429638
NEG277,2018-10-19,near_GLC4385,27.82657,88.60491,,,,,,,0,4439,7,231,40,15.169612489545584,148,33926.60543743854,2084.0,2.2349999397993088,4.824999839067459,17.274999575689435,20.3049995014444,51.0314996400848,0.3178044557571411,0.3386554419994354,0.2853832812836714,0.7043836872903992
NEG278,2019-08-21,near_GLC4394,27.07355,88.51199,,,,,,,0,1194,15,170,31,17.44455296600656,188,113.7937120983355,8066.333333333333,0.7749999612569809,13.244999717921019,22.219999467022717,130.32999749481678,284.9429939268157,0.24624772369861603,0.20130294561386108,0.409730973677088,0.987435139203591
NEG279,2009-08-03,near_GLC4394,27.27995,88.53396,,,,,,,0,1434,15,142,27,15.208527566113853,146,45.52363425969341,5082.666666666667,0.125,37.47649936005473,105.47149793896824,219.97649600543082,434.39649100601673,,,,1.1658725021419152
NEG280,2008-03-15,near_GLC4393,27.67961,88.69736,,,,,,,0,4507,51,124,71,44.43920955677123,652,20796.272690001682,-35.5,1.0399999804794788,2.78499992005527,18.889999436214566,24.71649936027825,32.14649918768555,,,,0.5749157350708296
NEG281,2018-07-25,near_GLC4393,27.87605,88.70979,,,,,,,0,4716,13,331,60,21.70112342019035,267,26092.258351921744,1448.0,4.299999892711639,22.459999430924654,29.02999923657626,75.43999789468944,111.8754973243922,0.2963772714138031,0.29203513264656067,3.6755299640575165,0.5238505887520678
NEG282,2020-01-16,near_GLC4403,24.85346,93.45926,,,,,,,0,1054,33,352,43,27.161329809749343,310,197.25313468749474,8840.0,0.0,0.0,4.604999960400164,41.12749920785427,44.72749912273139,0.25905007123947144,0.2759249806404114,-0.942579874274343,0.6989107067904874
NEG283,2013-12-30,near_GLC4403,24.76232,93.36822,,,,,,,0,393,44,90,56,31.920560587150913,330,108.88110188698515,8168.0,0.0,0.0,0.0,0.014999999664723873,0.045499999017920345,,,,0.572718777640601
NEG284,2018-12-11,near_GLC4407,24.99294,92.26701,,,,,,,0,18,4,172,17,4.58291618094128,26,175.43319912951094,3209.0,0.0,0.0,1.0999999716877937,1.1164999715983868,1.1164999715983868,0.3511635363101959,0.3801208734512329,-0.2972033793841913,1.5981568617869983
