id,date,location,lat,lon,fatalities,type,trigger,state,location_accuracy,source
GLC3776,2011-07-15,Itanagar/Naharlagur/Nirjuli,27.125,93.7145,0,landslide,downpour,Arunachal Pradesh,5km,nasa_glc
GLC3789,2011-07-16,Mebua (8 km from Seppa),27.2743,92.9064,0,landslide,downpour,Arunachal Pradesh,10km,nasa_glc
GLC3806,2011-07-19,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Secto",27.1032,93.6884,3,landslide,downpour,Arunachal Pradesh,10km,nasa_glc
GLC3805,2011-07-19,200 meters from Teesta Bridge towards Siliguri,27.05374234,88.42572376,0,landslide,rain,Sikkim,1km,nasa_glc
GLC3830,2011-07-22,Manipur,24.3527,94.3429,0,landslide,downpour,Manipur,10km,nasa_glc
GLC3837,2011-07-24,NH 37,26.5836,93.0038,0,landslide,downpour,Assam,50km,nasa_glc
GLC3840,2011-07-25,Manipur,24.6869,93.9157,0,landslide,downpour,Manipur,50km,nasa_glc
GLC3860,2011-07-29,"Maram, Manipur",25.4192,94.108,0,landslide,rain,Nagaland,10km,nasa_glc
GLC3881,2011-08-05,Itanagar,27.1034,93.6885,0,landslide,downpour,Arunachal Pradesh,5km,nasa_glc
GLC3912,2011-08-12,East Kameng district in Arunachal Pradesh bordering China,27.44,92.2833,0,landslide,rain,Arunachal Pradesh,50km,nasa_glc
GLC3916,2011-08-13,"Chumukedima, Dimapur",25.7713,93.8067,0,mudslide,downpour,Assam,10km,nasa_glc
GLC3925,2011-08-15,"East Kameng, Arunachal Pradesh",27.4888,93.0153,0,landslide,downpour,Arunachal Pradesh,50km,nasa_glc
GLC3965,2011-09-06,NH 37 at Awang Khul,24.808,93.117,3,landslide,rain,Assam,1km,nasa_glc
GLC3983,2011-09-23,"Maighuli, Guwahati, Meghalaya",26.1548,91.7351,4,landslide,downpour,Assam,unknown,nasa_glc
GLC4241,2012-03-04,Tamei constituency in Tamenlong district,25.1604,93.6795,0,landslide,unknown,Manipur,25km,nasa_glc
GLC4313,2012-04-08,"Endulin Nallah, Mayodia, 17-camp, 83-camp",28.4659,95.86,0,landslide,downpour,Arunachal Pradesh,50km,nasa_glc
GLC4377,2012-06-02,"Guwahati, Assam",26.1475,91.7356,0,landslide,downpour,Assam,5km,nasa_glc
GLC4378,2012-06-02,"Arunachal Pradesh, Dibang,",28.8254,96.1517,0,landslide,downpour,Arunachal Pradesh,50km,nasa_glc
GLC4382,2012-06-03,"between Harangajao and Mailongdisa, Assa,",25.1175,92.8573,0,landslide,downpour,Assam,5km,nasa_glc
GLC4385,2012-06-03,"lachen, Sikkim",27.7167,88.5577,0,landslide,downpour,Sikkim,5km,nasa_glc
GLC4394,2012-06-07,"Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)",27.1748,88.6458,7,landslide,rain,Sikkim,25km,nasa_glc
GLC4393,2012-06-07,"Nathang Maong, Sikkim",27.7565,88.632,7,landslide,downpour,Sikkim,25km,nasa_glc
GLC4403,2012-06-10,"Imphal-Jiribam section of NH-37 , Manipur",24.8142,93.5444,0,landslide,downpour,Manipur,50km,nasa_glc
GLC4407,2012-06-13,"NH44, Malidhor area,  Baleswar",25.0951,92.3567,0,landslide,downpour,Assam,50km,nasa_glc
GLC4408,2012-06-13,"NH44, Kuliang",25.5498,92.0757,0,landslide,downpour,Meghalaya,unknown,nasa_glc
GLC4424,2012-06-20,"Lalunggaon, Guwahati,  Assam",26.149,91.7351,0,landslide,downpour,Assam,1km,nasa_glc
GLC4426,2012-06-22,Lalunggaon near Gorchuk area,26.1226,91.7162,3,landslide,downpour,Assam,5km,nasa_glc
GLC4435,2012-06-25,"Tirap , Arunachal Pradesh",27.174,95.8011,0,landslide,downpour,Arunachal Pradesh,10km,nasa_glc
GLC4436,2012-06-25,"Khonsa, Arunachal Pradesh",26.9986,95.4993,0,landslide,downpour,Arunachal Pradesh,50km,nasa_glc
GLC4434,2012-06-25,"Sonaighuli area near Kahilipara, Guwahati City, Assam",26.1049,91.7369,1,landslide,downpour,Assam,1km,nasa_glc
GLC4446,2012-07-05,"Tuting, Upper Siang , Arunachal Pradesh",28.9986,94.8885,0,landslide,downpour,Arunachal Pradesh,5km,nasa_glc
GLC4556,2012-09-16,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",27.1675,88.3651,0,landslide,downpour,Sikkim,5km,nasa_glc
GLC4570,2012-09-19,Arunachal Pradesh,27.8458,95.2253,0,landslide,downpour,Arunachal Pradesh,1km,nasa_glc
GLC4610,2012-11-11,"Dapchhuah, Mamit, Mizoram",23.7705,92.5217,4,landslide,downpour,Mizoram,5km,nasa_glc
GLC4757,2013-02-18,"East Siang, Arunachal Pradesh",28.1193,95.1645,3,landslide,rain,Arunachal Pradesh,5km,nasa_glc
GLC4798,2013-04-07,"Dibang Valley, Arunachal Pradesh",28.8254,96.1509,0,landslide,rain,Arunachal Pradesh,unknown,nasa_glc
GLC4845,2013-05-07,"Kolasib, Saiha, Mizoram,",24.2315,92.6755,0,mudslide,rain,Mizoram,50km,nasa_glc
GLC4858,2013-05-11,"Nursery, North Guwahati, Guwahati, Assam,",26.1662,91.7138,0,landslide,rain,Assam,50km,nasa_glc
GLC4859,2013-05-11,"Sarania Hills, North Guwahati, Guwahati, Assam,",26.1771,91.7599,0,landslide,rain,Assam,5km,nasa_glc
GLC4857,2013-05-11,"Laipuitland , Aizawl, Mizoram",23.7281,92.7175,15,landslide,rain,Mizoram,25km,nasa_glc
GLC4860,2013-05-11,"Boragaon, North Guwahati, Guwahati, Assam,",26.1016,91.6906,0,landslide,rain,Assam,5km,nasa_glc
GLC4892,2013-06-01,Upper Subansiri,27.8776,94.25,0,landslide,downpour,Arunachal Pradesh,50km,nasa_glc
GLC4906,2013-06-07,"Helipong-Chessore Road, Nagaland",26.0977,94.7499,0,landslide,unknown,Nagaland,10km,nasa_glc
GLC4905,2013-06-07,"Kuthur – Huker Road Via Y Anner, Chessore, Nagaland",26.0977,94.7031,0,landslide,unknown,Nagaland,25km,nasa_glc
GLC4908,2013-06-08,"15 Km From Gangtok, Himalayans",27.3721,88.708,0,landslide,downpour,Sikkim,25km,nasa_glc
GLC4990,2013-06-27,"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",27.3765,88.7628,0,landslide,downpour,Sikkim,1km,nasa_glc
GLC5006,2013-07-01,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",26.1147,94.3864,0,landslide,downpour,Nagaland,1km,nasa_glc
GLC5005,2013-07-01,"Walo Ward, Mon Town, Wokha District, Nagaland",26.72,95.029,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC5084,2013-07-12,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagalan",25.616,94.1167,0,landslide,downpour,Nagaland,10km,nasa_glc
GLC5087,2013-07-12,"National Highway 29 Near Phesama Village, Nagaland",25.6269,94.1139,0,landslide,downpour,Nagaland,10km,nasa_glc
GLC5107,2013-07-15,"National Highway 29 Near Phesama Village, Nagaland",25.6269,94.1139,0,landslide,rain,Nagaland,10km,nasa_glc
GLC5122,2013-07-17,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",25.7658,93.9413,0,mudslide,rain,Nagaland,50km,nasa_glc
GLC5123,2013-07-17,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",25.7131,94.0885,0,mudslide,rain,Nagaland,50km,nasa_glc
GLC5250,2013-08-01,"Polo River At Polosang, Arunachal Pradesh",27.8837,93.0515,0,mudslide,rain,Arunachal Pradesh,10km,nasa_glc
GLC5271,2013-08-04,"Nanga, Nagaland",26.284,94.5808,0,landslide,continuous_rain,Nagaland,5km,nasa_glc
GLC5268,2013-08-04,"Zunheboto, Nagaland",26.0137,94.5163,0,landslide,continuous_rain,Nagaland,25km,nasa_glc
GLC5269,2013-08-04,"Tizu, Nagaland",25.8376,94.5234,0,landslide,continuous_rain,Nagaland,unknown,nasa_glc
GLC5270,2013-08-04,"Phizo, Nagaland",26.0481,94.4619,0,landslide,continuous_rain,Nagaland,unknown,nasa_glc
GLC5273,2013-08-04,"Zhekuto, Nagaland",26.1807,94.5497,0,landslide,monsoon,Nagaland,5km,nasa_glc
GLC5272,2013-08-04,"Longsa, Nagaland",26.2083,94.5438,0,landslide,monsoon,Nagaland,1km,nasa_glc
GLC5274,2013-08-04,"Suruhuto Town, Nagaland",26.0838,94.564,0,landslide,rain,Nagaland,25km,nasa_glc
GLC5275,2013-08-04,"Suruhuto Town, Nagaland",26.1498,94.6055,0,landslide,monsoon,Nagaland,10km,nasa_glc
GLC5300,2013-08-09,"Senapati, Manipur",25.318,94.0441,0,landslide,downpour,Nagaland,50km,nasa_glc
GLC5312,2013-08-11,Kangtsung Village,26.7103,94.693,0,landslide,downpour,Assam,10km,nasa_glc
GLC5427,2013-08-15,"Koide Government High School, Senapati, Manipur",25.3833,94.1884,0,landslide,downpour,Nagaland,5km,nasa_glc
GLC5338,2013-08-16,"Longlem, Nagaland",26.8727,94.9275,0,landslide,rain,Assam,25km,nasa_glc
GLC5337,2013-08-16,"Yakshu, Nagaland",26.4205,94.9731,0,landslide,rain,Nagaland,5km,nasa_glc
GLC5336,2013-08-16,"Tobu, Nagaland",26.3897,94.9439,0,landslide,rain,Nagaland,10km,nasa_glc
GLC5343,2013-08-17,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,24.7625,93.4341,0,landslide,continuous_rain,Assam,10km,nasa_glc
GLC5421,2013-08-30,"Yakshu, Nagaland",26.4205,94.9731,0,mudslide,unknown,Nagaland,5km,nasa_glc
GLC5431,2013-09-01,"Tamenglong, Manipur",24.9829,93.5063,0,mudslide,continuous_rain,Assam,5km,nasa_glc
